epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_seconds
1,0.001,1.4496398417127716,0.5184656386826575,1.4366121900755633,0.5319817247287264,145.51418495178223
2,0.001,1.258395605465809,0.5573005901389682,1.2799783089990142,0.5639634494574529,141.67475605010986
3,0.001,1.1910470925624679,0.5661526746620978,1.2499822703584271,0.568246716162193,141.81939268112183
4,0.001,1.138707386171979,0.5884256615267466,1.1583709536383044,0.5696744717304397,170.26646399497986
5,0.001,1.099530016357005,0.6047020750047591,1.0097808635690972,0.6284980011422044,190.51787090301514
6,0.001,1.068748853557477,0.6102227298686465,1.036231203395118,0.616504854368932,145.9337339401245
7,0.001,1.0576838188890318,0.6166000380734818,0.9339211089892907,0.6616219303255283,141.5819218158722
8,0.001,1.032674851926785,0.6264039596421093,1.0398847798767394,0.6085094231867504,138.31707119941711
9,0.001,1.0023428001972055,0.6349704930515896,0.8924923044555464,0.6753283837806967,138.20974802970886
10,0.001,0.9959274856744211,0.6460118027793642,0.9220729175804003,0.6587664191890349,139.89660835266113
