epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_seconds
1,0.001,1.4427427590937443,0.5233244478293984,1.2915509129033504,0.5471159337521416,146.7511670589447
2,0.001,1.2566361903054788,0.550932977913176,1.3833682628647386,0.5245573957738435,141.8036870956421
3,0.001,1.1851768502731497,0.573971820258949,1.142965643593817,0.5882352941176471,141.0136740207672
4,0.001,1.1308423307045488,0.5898705255140899,1.031620364234081,0.6167904054825813,138.9570848941803
5,0.001,1.0893474770064402,0.5953922315308454,1.238053739036852,0.549114791547687,138.92104291915894
6,0.001,1.0638310054922866,0.6036747905559787,0.9840000547523978,0.6307824100513992,138.57248902320862
7,0.001,1.0493830557733843,0.6156702208682406,1.023767703162269,0.6299257567104511,138.66873383522034
8,0.001,1.0162286276319785,0.6278560548362528,0.983389678272365,0.642204454597373,140.62698888778687
9,0.001,1.004228560959031,0.6291888804265042,1.0142330722356783,0.6190748143917761,140.1574583053589
10,0.001,0.9868478399147447,0.6357578065498858,0.9166593215657534,0.6721873215305539,298.09719800949097
