epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_seconds
1,0.001,1.4499961992818144,0.5153794876678411,1.3178108148457697,0.5455584118823193,146.81026101112366
2,0.001,1.2935777358549707,0.5455670888486811,1.4412460680247647,0.5392744930019995,140.13280820846558
3,0.001,1.2045434630833267,0.5687077421197981,1.1531596905638306,0.5769780062839189,141.9775869846344
4,0.001,1.1466433119403783,0.5837539281973145,1.165914530619251,0.56269637246501,142.47804975509644
5,0.001,1.1231416244414203,0.5903247309780021,1.2507156282791032,0.5429877177949157,233.2353138923645
6,0.001,1.0800062840171751,0.6070850395200457,1.023664239780183,0.6281062553556127,332.70595693588257
7,0.001,1.063571963795207,0.6149890486620322,1.0499336662989827,0.6266780919737218,327.7300601005554
8,0.001,1.039048110356888,0.629273402533092,1.1804397170184784,0.5789774350185661,200.6859200000763
9,0.001,1.014636724043569,0.6322255023331111,0.9625494303923953,0.6612396458154813,139.6655628681183
10,0.001,0.9991843292638468,0.636415579468622,0.9388606602448935,0.6578120536989431,139.74416303634644
